Strategy,Flux,Biomass,N_of_deletions,C_limit
"['PGI', 'KAT6', 'PGM', 'AADSACYCL']",6.376517369677258e-10,0.4166852259087589,4,10
"['4CMLCL_kt', 'ACONTb', 'PHETHPTOX3', 'GLUR']",1.1118446406610527e-09,0.0877672824300465,4,10
"['GAPD', 'PGI', 'HACD22i', 'PGM']",1.3480603772153545e-08,0.4135429696136817,4,10
"['GALUi', 'PGI', 'IPDDI', 'CSPMDDH']",5.6912047061152826e-08,0.4178046935800806,4,10
"['GLUTCOADHc', 'ACOAD2f', 'ECOAH27', 'AADSACYCL']",1.1487732431980644e-09,0.4178046935800748,4,10
"['GALUi', 'GLUTCOADHc', 'ACOAD2f', 'ECOAH27']",7.120944112148918e-10,0.4178046934576926,4,10
"['CYTK1', 'FALDM']",1.1969787364676732e-05,0.4166293701067912,2,10
"['ALCD19', 'CYTK1']",0.0,0.4080867818867852,2,10
"['GG15DAPDxr', 'MAN6PI']",0.0,0.4178046935800796,2,10
"['GG15DAPDxr', 'TPI']",0.0,0.4111945846138982,2,10
"['TPI', 'TKT2']",0.0,0.4097689677700395,2,10
"['MDH', 'TKT2']",0.0,0.3979794407676341,2,10
"['OXOAEL', 'TKT2', 'FALDM']",2.6121443059065608e-06,0.0909202483382065,3,10
"['CBMKr', 'PGI', 'OXOAEL']",0.0,0.0909219583566744,3,10
"['MDH', 'CYTK1', 'OXOAEL', 'FALDM']",2.746693611496015e-06,0.0885651768109045,4,10
"['GALUi', 'XAND', 'MDH', 'ALCD19']",8.997346867545275e-09,0.3917509379975403,4,10
"['DURAD', 'GGDAPS', 'HSK']",1.2999596890214953,0.1737414848199922,3,10
"['DURAD', 'GGDAPS', 'HSK', 'IPDDI']",1.299976237106488,0.1737414848185471,4,10
"['DMPPS', 'DHPS', 'FUM', 'IPDDI']",0.4106788246912312,0.0719682117754239,4,10
"['HSK', 'ADPT', 'FUM', 'PPCK']",4.4451515924373575e-05,0.1277313514207304,4,10
"['DURAD', 'GGDAPS', 'ORNDC', 'SUCOAS']",1.295359980824048,0.172832930206577,4,10
"['DURAD', 'GGDAPS', 'CS', 'CBMKr']",1.291866125249924,0.1667609651089936,4,10
"['DURAD', 'GGDAPS', 'DMPPS', 'IPDDI']",2.0354907975457306,0.0417804693580592,4,10
"['DURAD', 'GGDAPS', 'HSK', 'CBMKr']",1.2999626667818251,0.1726915771500689,4,10
"['4CMLCL_kt', 'DMPPS', 'DHPS', 'IPDDI']",0.2499403755005346,0.0456790959234786,4,10
"['DURAD', 'GGDAPS', 'CS', 'CYTDH']",1.2918500879671913,0.167884664694981,4,10
